id,author,community,alpha,beta
50,anne-mieke vandamme_pers/30,42,1.0,0.50
51,anthony sulistio_pers/35,0,1.0,0.50
52,antoni cyz_pers/37,30,1.0,0.50
53,arkadiusz gil_pers/34,21,1.0,0.50
54,arkadiusz janik_pers/13,16,1.0,0.50
55,arkadiusz kuboszek_pers/30,42,1.0,0.50
56,arkadiusz z. dudek_pers/39,35,1.0,0.50
57,arndt bode_pers/32,31,1.0,0.50
58,artur andrzejak_pers/36,25,1.0,0.50
59,artur binczewski_pers/37,30,1.0,0.50
60,b. j. broekhuijsen_pers/31,40,1.0,0.50
61,b. p. gouldby_pers/31,40,1.0,0.50
62,b. podsiadlo-kleinrok_pers/29,4,1.0,0.50
63,b_key/13,16,1.0,0.50
64,bartek palak_pers/36,25,1.0,0.50
65,bartlomiej balcerek_pers/36,25,1.0,0.50
66,bartlomiej labno_pers/13,16,1.0,0.50
67,bartlomiej patrzyk_pers/12,3,1.0,0.50
68,bartosz balis_pers/35,0,1.0,0.50
69,bartosz bosak_pers/35,0,1.0,0.50
70,bartosz kowalczyk_pers/28,38,1.0,0.50
71,bartosz kowalewski_pers/3,18,1.0,0.50
72,bartosz kryza_pers/36,25,1.0,0.50
73,bartosz kwolek_pers/39,35,1.0,0.50
74,bartosz minch_pers/9,37,1.0,0.50
75,bartosz szafran_pers/34,21,1.0,0.50
76,bartosz wilk_pers/35,0,1.0,0.50
77,benjamin j. kadlec_pers/5,29,1.0,0.50
78,benjamin satzger_pers/36,25,1.0,0.50
79,benny sowell_pers/29,4,1.0,0.50
80,bernhard lang_pers/31,40,1.0,0.50
81,bob hertzberger_pers/28,38,1.0,0.50
82,bogna blaszczyk_pers/26,6,1.0,0.50
83,branislav borovac_pers/22,17,1.0,0.50
84,breanndán ó nualláin_pers/30,42,1.0,0.50
85,carles bona-casas_pers/35,0,1.0,0.50
86,cees de laat_pers/28,38,1.0,0.50
87,cees t. a. m. de laat_pers/28,38,1.0,0.50
88,cesar r. s. da silva_pers/29,4,1.0,0.50
89,charles a. boucher_pers/30,42,1.0,0.50
90,chris borckholder_pers/21,36,1.0,0.50
91,christian uebing_pers/22,17,1.0,0.50
92,christof klausecker_pers/32,31,1.0,0.50
93,christoph hellweg_pers/21,36,1.0,0.50
94,christopher brown 0002_pers/34,21,1.0,0.50
95,cinzia cappiello_pers/36,25,1.0,0.50
96,claudia gold_pers/9,37,1.0,0.50
97,clemens harlfinger_pers/9,37,1.0,0.50
98,cécile piret_pers/5,29,1.0,0.50
99,damian kosc_pers/24,2,1.0,0.50
100,dan kigelman_pers/29,4,1.0,0.50
101,daniel harezlak_pers/35,0,1.0,0.50
102,daniel krzywicki_pers/34,21,1.0,0.50
103,daniel lorenz 0001_pers/22,17,1.0,0.50
104,daniel nolte_pers/28,38,1.0,0.50
105,daniel rodríguez_pers/32,31,1.0,0.50
106,dario ruiz lopez_pers/21,36,1.0,0.50
107,dariusz król 0002_pers/35,0,1.0,0.50
108,dariusz tasak_pers/28,38,1.0,0.50
109,dariusz zbik_pers/32,31,1.0,0.50
110,dat t. nguyen_pers/23,24,1.0,0.50
111,david a. sanchez_pers/5,29,1.0,0.50
112,david a. van de vijver_pers/30,42,1.0,0.50
113,david a. yuen_pers/29,4,1.0,0.50
114,david coster_pers/35,0,1.0,0.50
115,david k. kahaner_pers/24,2,1.0,0.50
116,david l. george_pers/24,2,1.0,0.50
117,dawid dworak_pers/27,26,1.0,0.50
118,dawid kurzyniec_pers/28,38,1.0,0.50
119,debbi chen_pers/24,2,1.0,0.50
120,debora testi_pers/21,36,1.0,0.50
121,denis caromel_pers/31,40,1.0,0.50
122,dennis hoppe_pers/35,0,1.0,0.50
123,derek groen_pers/35,0,1.0,0.50
124,derrick kondo_pers/36,25,1.0,0.50
125,dieter kranzlmüller_pers/32,31,1.0,0.50
126,dineke frentz_pers/30,42,1.0,0.50
127,dmitry vasunin_pers/28,38,1.0,0.50
128,dmitry vasyunin_pers/28,38,1.0,0.50
129,domenico talia_pers/32,31,1.0,0.50
130,dominik dziok_pers/32,31,1.0,0.50
131,dominik stoklosa_pers/36,25,1.0,0.50
132,dorota stojda_pers/37,30,1.0,0.50
133,dániel drótos_pers/18,32,1.0,0.50
134,edward nawarecki_pers/34,21,1.0,0.50
135,elzbieta richter-was_pers/34,21,1.0,0.50
136,eric lorenz_pers/35,0,1.0,0.50
137,erik o. d. sevre_pers/5,29,1.0,0.50
138,ernesto coto_pers/21,36,1.0,0.50
139,erwin laure_pers/32,31,1.0,0.50
140,eryk ciepiela_pers/35,0,1.0,0.50
141,evan f. bollig_pers/29,4,1.0,0.50
142,ewa deelman_pers/35,0,1.0,0.50
143,ewa matczynska_pers/37,30,1.0,0.50
144,eyuphan bulut_pers/11,10,1.0,0.50
145,f. i. rusadi_pers/31,40,1.0,0.50
146,fabien dubuffet_pers/29,4,1.0,0.50
147,fabio polticelli_pers/37,30,1.0,0.50
148,fabrizio gagliardi_pers/32,31,1.0,0.50
149,farrukh salim shaikh_pers/38,19,1.0,0.50
150,filip pomanski_pers/24,2,1.0,0.50
151,filip szura_pers/12,3,1.0,0.50
152,francesco nerieri_pers/32,31,1.0,0.50
153,francisco fernandez rivera_pers/33,13,1.0,0.50
154,frank berretz_pers/37,30,1.0,0.50
155,frank dopatka_pers/40,7,1.0,0.50
156,françoise baude_pers/31,40,1.0,0.50
157,g. dick van albada_pers/32,31,1.0,0.50
158,g. s. shirshov_pers/31,40,1.0,0.50
159,ganeshwara herawan hananda putra_pers/28,38,1.0,0.50
160,gerben klaas dirk de vries_pers/28,38,1.0,0.50
161,giovanni minervini_pers/37,30,1.0,0.50
162,giuseppe evangelista_pers/37,30,1.0,0.50
163,gordon erlebacher_pers/29,4,1.0,0.50
164,grady barrett wright_pers/5,29,1.0,0.50
165,grazyna skiba_pers/34,21,1.0,0.50
166,grzegorz dobrowolski_pers/34,21,1.0,0.50
167,grzegorz dyk_pers/35,0,1.0,0.50
168,grzegorz kaplita_pers/31,40,1.0,0.50
169,grzegorz mlynarczyk_pers/31,40,1.0,0.50
170,gábor dózsa_pers/7,8,1.0,0.50
171,hailing liu_pers/29,4,1.0,0.50
172,hamideh afsarmanesh_pers/28,38,1.0,0.50
173,han rauwerda_pers/28,38,1.0,0.50
174,han zhang_pers/12,3,1.0,0.50
175,hans j. w. spoelder_pers/32,31,1.0,0.50
176,hawzhin hozhabr pour_pers/5,29,1.0,0.50
177,hawzhin hozhabrpour_pers/5,29,1.0,0.50
178,henri e. bal_pers/32,31,1.0,0.50
179,henrik eichenhardt_pers/22,17,1.0,0.50
180,henryk palka_pers/37,30,1.0,0.50
181,hiroki senshu_pers/29,4,1.0,0.50
182,hong linh truong 0001_pers/32,31,1.0,0.50
183,huai zhang_pers/29,4,1.0,0.50
184,hubert siejkowski_pers/39,35,1.0,0.50
185,hui lin xing_pers/29,4,1.0,0.50
186,igor wojnicki_pers/20,22,1.0,0.50
187,ilkay altintas_pers/35,0,1.0,0.50
188,ilya i. mokhov_pers/31,40,1.0,0.50
189,irena roterman-konieczna_pers/24,2,1.0,0.50
190,irena roterman_pers/37,30,1.0,0.50
191,j. lhomme_pers/31,40,1.0,0.50
192,j. santoso_pers/32,31,1.0,0.50
193,jacek dajda_pers/34,21,1.0,0.50
194,jacek kitowski_pers/36,25,1.0,0.50
195,jacek moscinski_pers/39,35,1.0,0.50
196,jack j. dongarra_pers/32,31,1.0,0.50
197,jacob unterman_pers/12,3,1.0,0.50
198,jakub andrzejewski_pers/37,30,1.0,0.50
199,jakub bujas_pers/34,21,1.0,0.50
200,jakub dziwisz_pers/28,38,1.0,0.50
201,jakub sendor_pers/36,25,1.0,0.50
202,jakub t. moscicki_pers/32,31,1.0,0.50
203,jakub wach_pers/35,0,1.0,0.50
204,james b. s. g. greensky_pers/29,4,1.0,0.50
205,james j. suter_pers/35,0,1.0,0.50
206,jamie shiers_pers/17,33,1.0,0.50
207,jan blasiak_pers/15,15,1.0,0.50
208,jan dzwinel_pers/4,28,1.0,0.50
209,jan meizner_pers/35,0,1.0,0.50
210,jan pieczykolan_pers/39,35,1.0,0.50
211,jan stypka_pers/34,21,1.0,0.50
212,janusz slawek_pers/16,27,1.0,0.50
213,jarek nabrzyski_pers/35,0,1.0,0.50
214,jaroslaw dabrowski_pers/34,21,1.0,0.50
215,jaroslaw iwaszkiewicz_pers/37,30,1.0,0.50
216,javier rubio-loyola_pers/28,38,1.0,0.50
217,jens volkert_pers/32,31,1.0,0.50
218,jeroen broekhuijsen_pers/30,42,1.0,0.50
219,jerzy wasniewski_pers/23,24,1.0,0.50
220,jessica schmidt_pers/5,29,1.0,0.50
221,jesús labarta_pers/32,31,1.0,0.50
222,jie tao_pers/32,31,1.0,0.50
223,joan serrat 0001_pers/28,38,1.0,0.50
224,joan serrat-fernández_pers/28,38,1.0,0.50
225,joanna kijak_pers/21,36,1.0,0.50
226,joanna kocot_pers/35,0,1.0,0.50
227,joanna patrzyk_pers/26,6,1.0,0.50
228,joanna plazek_pers/39,35,1.0,0.50
229,johann krammer_pers/12,3,1.0,0.50
230,john hughes_pers/5,29,1.0,0.50
231,jonas sala_pers/24,2,1.0,0.50
232,jonathan c. mclane_pers/29,4,1.0,0.50
233,joris borgdorff_pers/35,0,1.0,0.50
234,josu martinez_pers/36,25,1.0,0.50
235,jozef kotus_pers/36,25,1.0,0.50
236,juan arenas_pers/21,36,1.0,0.50
237,juan c. burguillo_pers/34,21,1.0,0.50
238,jörg stiller_pers/18,32,1.0,0.50
239,jörg trinitis_pers/36,25,1.0,0.50
240,k. a. karasavvas_pers/28,38,1.0,0.50
241,k. reeves_pers/22,17,1.0,0.50
242,kamil figiela_pers/35,0,1.0,0.50
243,kamil górka_pers/28,38,1.0,0.50
244,kamil iskra_pers/32,31,1.0,0.50
245,kamil mazurek_pers/17,33,1.0,0.50
246,kamil pietak_pers/34,21,1.0,0.50
247,kamil sterna_pers/19,11,1.0,0.50
248,karol grzegorczyk_pers/34,21,1.0,0.50
249,karol wawrzyniak_pers/37,30,1.0,0.50
250,katarzyna prymula_pers/37,30,1.0,0.50
251,katarzyna rycerz_pers/35,0,1.0,0.50
252,katarzyna zajac 0001_pers/35,0,1.0,0.50
253,kazimierz balos_pers/39,35,1.0,0.50
254,kazimierz wiatr_pers/36,25,1.0,0.50
255,kevin hammond_pers/34,21,1.0,0.50
256,kinga salapa_pers/37,30,1.0,0.50
257,kirk e. jordan_pers/9,37,1.0,0.50
258,klaus ullmann_pers/32,31,1.0,0.50
259,klemens noga_pers/39,35,1.0,0.50
260,konrad gadek_pers/26,6,1.0,0.50
261,konrad jopek_pers/30,42,1.0,0.50
262,kornel skalkowski_pers/36,25,1.0,0.50
263,kristof theys_pers/30,42,1.0,0.50
264,krystian pawlik_pers/24,2,1.0,0.50
265,krzysztof banas_pers/39,35,1.0,0.50
266,krzysztof benedyczak_pers/37,30,1.0,0.50
267,krzysztof borowski_pers/43,14,1.0,0.50
268,krzysztof boryczko_pers/39,35,1.0,0.50
269,krzysztof cetnarowicz_pers/34,21,1.0,0.50
270,krzysztof dzwinel_pers/8,12,1.0,0.50
271,krzysztof guzy_pers/39,35,1.0,0.50
272,krzysztof j. cios_pers/2,5,1.0,0.50
273,krzysztof korcyl_pers/39,35,1.0,0.50
274,krzysztof kurowski_pers/35,0,1.0,0.50
275,krzysztof magiera_pers/3,18,1.0,0.50
276,krzysztof nawrocki_pers/37,30,1.0,0.50
277,krzysztof sowa-pieklo_pers/32,31,1.0,0.50
278,krzysztof sowa_pers/32,31,1.0,0.50
279,krzysztof wilaszek_pers/27,26,1.0,0.50
280,krzysztof wilk_pers/35,0,1.0,0.50
281,krzysztof zielinski_pers/39,35,1.0,0.50
282,kuba rozkwitalski_pers/32,31,1.0,0.50
283,ladislav hluchý_pers/32,31,1.0,0.50
284,lechoslaw trebacz_pers/3,18,1.0,0.50
285,leonardo mariani_pers/36,25,1.0,0.50
286,leszek siwik_pers/33,13,1.0,0.50
287,liang zheng_pers/29,4,1.0,0.50
288,louis o. hertzberger_pers/28,38,1.0,0.50
289,ludovic henrio_pers/31,40,1.0,0.50
290,luis menezes_pers/1,1,1.0,0.50
291,lukas wegmeth_pers/5,29,1.0,0.50
292,lukasz dutka_pers/36,25,1.0,0.50
293,lukasz faber_pers/34,21,1.0,0.50
294,lukasz flis_pers/37,30,1.0,0.50
295,lukasz nocun_pers/34,21,1.0,0.50
296,lukasz rauch_pers/36,25,1.0,0.50
297,lukasz skital_pers/39,35,1.0,0.50
298,m. charley kameyama_pers/29,4,1.0,0.50
299,m. damon_pers/25,41,1.0,0.50
300,m. gajecki_pers/39,35,1.0,0.50
301,m. magdón_pers/27,26,1.0,0.50
302,m. mechtel_pers/22,17,1.0,0.50
303,m. renczynska-wyrobek_pers/33,13,1.0,0.50
304,maciej dudek_pers/30,42,1.0,0.50
305,maciej filocha_pers/37,30,1.0,0.50
306,maciej golenia_pers/28,38,1.0,0.50
307,maciej golik_pers/39,35,1.0,0.50
308,maciej grzegorczyk_pers/30,42,1.0,0.50
309,maciej kuzniar_pers/33,13,1.0,0.50
310,maciej malawski_pers/35,0,1.0,0.50
311,maciej nabozny_pers/37,30,1.0,0.50
312,maciej paszynski_pers/33,13,1.0,0.50
313,maciej pawlik_pers/35,0,1.0,0.50
314,maciej twardy_pers/36,25,1.0,0.50
315,maciej zientarski_pers/32,31,1.0,0.50
316,magda szopa_pers/39,35,1.0,0.50
317,magdalena strzoda_pers/3,18,1.0,0.50
318,malgorzata krakowian_pers/28,38,1.0,0.50
319,malgorzata tomanek_pers/5,29,1.0,0.50
320,malgorzata wielgus_pers/23,24,1.0,0.50
321,malgorzata zabinska_pers/37,30,1.0,0.50
322,marcelina borcz_pers/36,25,1.0,0.50
323,marcin grzegorzek_pers/5,29,1.0,0.50
324,marcin jarzab_pers/34,21,1.0,0.50
325,marcin koch_pers/32,31,1.0,0.50
326,marcin kurdziel_pers/31,40,1.0,0.50
327,marcin los_pers/33,13,1.0,0.50
328,marcin nowak_pers/30,42,1.0,0.50
329,marcin pospieszny_pers/37,30,1.0,0.50
330,marcin radecki_pers/37,30,1.0,0.50
331,marcin smetek_pers/32,31,1.0,0.50
332,marcin stolarek_pers/37,30,1.0,0.50
333,marcin szelc_pers/37,30,1.0,0.50
334,marco danelutto_pers/32,31,1.0,0.50
335,marco nichau_pers/21,36,1.0,0.50
336,marek kasztelnik_pers/35,0,1.0,0.50
337,marek kisiel-dorohinicki_pers/34,21,1.0,0.50
338,marek kochanczyk_pers/37,30,1.0,0.50
339,marek kowalski_pers/37,30,1.0,0.50
340,marek magrys_pers/37,30,1.0,0.50
341,marek piascik_pers/34,21,1.0,0.50
342,marek pogoda_pers/36,25,1.0,0.50
343,marek wieczorek_pers/32,31,1.0,0.50
344,marek zaionc_pers/5,29,1.0,0.50
345,margaret balcerzak_pers/9,37,1.0,0.50
346,maria stanislawa magdon-maksymowicz_pers/26,6,1.0,0.50
347,marian bubak_pers/35,0,1.0,0.50
348,mariusz kope_pers/17,33,1.0,0.50
349,mariusz mamonski_pers/35,0,1.0,0.50
350,mariusz sterzel_pers/36,25,1.0,0.50
351,mariusz witek_pers/37,30,1.0,0.50
352,markus bode_pers/21,36,1.0,0.50
353,markus schmid_pers/36,25,1.0,0.50
354,marlon e. pierce_pers/29,4,1.0,0.50
355,marta panuszewska_pers/29,4,1.0,0.50
356,martin bobák_pers/30,42,1.0,0.50
357,martin g. metzker_pers/28,38,1.0,0.50
358,martin koehler_pers/21,36,1.0,0.50
359,martin schulz 0001_pers/32,31,1.0,0.50
360,massimo lamanna_pers/32,31,1.0,0.50
361,matei ripeanu_pers/32,31,1.0,0.50
362,mateusz banach_pers/37,30,1.0,0.50
363,mateusz godzik_pers/34,21,1.0,0.50
364,mateusz kosibowicz_pers/24,2,1.0,0.50
365,mateusz kupisz_pers/34,21,1.0,0.50
366,mateusz paciorek_pers/34,21,1.0,0.50
367,mateusz paciorekl_pers/24,2,1.0,0.50
368,mateusz piech_pers/34,21,1.0,0.50
369,mateusz starzec_pers/34,21,1.0,0.50
370,matthew g. knepley_pers/30,42,1.0,0.50
371,matthias assel_pers/35,0,1.0,0.50
372,matthieu morel_pers/31,40,1.0,0.50
373,matti heikkurinen_pers/28,38,1.0,0.50
374,mehmet a. nacar_pers/29,4,1.0,0.50
375,mehmet s. aktas_pers/29,4,1.0,0.50
376,michael garbas_pers/21,36,1.0,0.50
377,michael gerndt_pers/32,31,1.0,0.50
378,michael m. resch_pers/32,31,1.0,0.50
379,michael oberhuber_pers/32,31,1.0,0.50
380,michael r. knox_pers/29,4,1.0,0.50
381,michal bluj_pers/37,30,1.0,0.50
382,michal dwuznik_pers/37,30,1.0,0.50
383,michal dyrda_pers/23,24,1.0,0.50
384,michal janczykowski_pers/30,42,1.0,0.50
385,michal kapalka_pers/39,35,1.0,0.50
386,michal konarski_pers/26,6,1.0,0.50
387,michal krok_pers/26,6,1.0,0.50
388,michal lopuszynski_pers/37,30,1.0,0.50
389,michal niec_pers/34,21,1.0,0.50
390,michal orzechowski_pers/35,0,1.0,0.50
391,michal pelczar_pers/35,0,1.0,0.50
392,michal piotrowski_pers/40,7,1.0,0.50
393,michal radziszewski_pers/10,23,1.0,0.50
394,michal slaski_pers/37,30,1.0,0.50
395,michal swatowski_pers/24,2,1.0,0.50
396,michal trzeciak_pers/39,35,1.0,0.50
397,michal turala_pers/37,30,1.0,0.50
398,michal wegiel_pers/2,5,1.0,0.50
399,mike r. knox_pers/29,4,1.0,0.50
400,mikolaj baranowski_pers/23,24,1.0,0.50
401,milosz zdybal_pers/37,30,1.0,0.50
402,miroslav zivkovic_pers/28,38,1.0,0.50
403,monika piwowar_pers/24,2,1.0,0.50
404,márcia a. inda_pers/28,38,1.0,0.50
405,n. b. melnikova_pers/31,40,1.0,0.50
406,nan zhang_pers/5,29,1.0,0.50
407,norbert meyer_pers/37,30,1.0,0.50
408,olav hansen_pers/24,2,1.0,0.50
409,oleg v. vasilyev_pers/7,8,1.0,0.50
410,olivier hoenen_pers/35,0,1.0,0.50
411,ondrej habala_pers/30,42,1.0,0.50
412,onn shehory_pers/36,25,1.0,0.50
413,otto rienhoff_pers/32,31,1.0,0.50
414,owen appleton_pers/28,38,1.0,0.50
415,p. mättig_pers/22,17,1.0,0.50
416,pablo lamata_pers/28,38,1.0,0.50
417,paola grosso_pers/28,38,1.0,0.50
418,patryk lason_pers/37,30,1.0,0.50
419,patryk orzechowski_pers/15,15,1.0,0.50
420,paul t. groth_pers/28,38,1.0,0.50
421,pawel chorazyk_pers/21,36,1.0,0.50
422,pawel gepner_pers/30,42,1.0,0.50
423,pawel gosztyla_pers/14,39,1.0,0.50
424,pawel hodurek_pers/31,40,1.0,0.50
425,pawel j. matuszyk_pers/42,34,1.0,0.50
426,pawel jurczyk_pers/28,38,1.0,0.50
427,pawel koperek_pers/14,39,1.0,0.50
428,pawel pawlowicz_pers/19,11,1.0,0.50
429,pawel pierzchala_pers/30,42,1.0,0.50
430,pawel pikula_pers/28,38,1.0,0.50
431,pawel plaszczak_pers/35,0,1.0,0.50
432,pawel swierszcz_pers/8,12,1.0,0.50
433,pawel topa_pers/33,13,1.0,0.50
434,pawel wolniewicz_pers/37,30,1.0,0.50
435,pawel wróblewski_pers/38,19,1.0,0.50
436,peter bloem_pers/28,38,1.0,0.50
437,peter brezany_pers/32,31,1.0,0.50
438,peter brunner_pers/32,31,1.0,0.50
439,peter buchholz 0002_pers/22,17,1.0,0.50
440,peter fritzson_pers/24,2,1.0,0.50
441,peter m. a. sloot_pers/35,0,1.0,0.50
442,peter skov_pers/24,2,1.0,0.50
443,peter v. coveney_pers/35,0,1.0,0.50
444,pieter libin_pers/30,42,1.0,0.50
445,piotr anielski_pers/34,21,1.0,0.50
446,piotr bala_pers/36,25,1.0,0.50
447,piotr blaszczyk_pers/34,21,1.0,0.50
448,piotr godowski_pers/33,13,1.0,0.50
449,piotr handzlik_pers/3,18,1.0,0.50
450,piotr iwo wójcik_pers/33,13,1.0,0.50
451,piotr kala_pers/33,13,1.0,0.50
452,piotr kustra_pers/36,25,1.0,0.50
453,piotr luszczek_pers/31,40,1.0,0.50
454,piotr machner_pers/39,35,1.0,0.50
455,piotr malecki_pers/37,30,1.0,0.50
456,piotr martyna_pers/30,42,1.0,0.50
457,piotr metel_pers/30,42,1.0,0.50
458,piotr nawrocki_pers/39,35,1.0,0.50
459,piotr nowakowski_pers/35,0,1.0,0.50
460,piotr ochlawski_pers/24,2,1.0,0.50
461,piotr pawliczek_pers/25,41,1.0,0.50
462,piotr pegiel_pers/33,13,1.0,0.50
463,piotr wawrykal_pers/24,2,1.0,0.50
464,piotr wiecek_pers/24,2,1.0,0.50
465,piotr wójcik_pers/37,30,1.0,0.50
466,przemyslaw czerwinski_pers/32,31,1.0,0.50
467,przemyslaw dabek_pers/23,24,1.0,0.50
468,przemyslaw majewski_pers/34,21,1.0,0.50
469,r. chrobak_pers/23,24,1.0,0.50
470,radoslaw gembarowski_pers/31,40,1.0,0.50
471,radoslaw maruszewski_pers/32,31,1.0,0.50
472,radoslaw rowicki_pers/37,30,1.0,0.50
473,radoslaw trzcionkowski_pers/3,18,1.0,0.50
474,rafal kluszczynski_pers/36,25,1.0,0.50
475,rafal lichwala_pers/37,30,1.0,0.50
476,rafal orlowski_pers/30,42,1.0,0.50
477,rafal tylman_pers/36,25,1.0,0.50
478,rafal wcislo_pers/29,4,1.0,0.50
479,rahul panday_pers/29,4,1.0,0.50
480,rainer koppler_pers/32,31,1.0,0.50
481,ralf ebner 0001_pers/9,37,1.0,0.50
482,ralph koning_pers/28,38,1.0,0.50
483,ralph müller-pfefferkorn_pers/22,17,1.0,0.50
484,ramin yahyapour_pers/32,31,1.0,0.50
485,ramon doallo_pers/31,40,1.0,0.50
486,raphael sangeda_pers/30,42,1.0,0.50
487,raül sirvent_pers/32,31,1.0,0.50
488,reginald cushing_pers/28,38,1.0,0.50
489,reinhard neumann_pers/22,17,1.0,0.50
490,renata slota_pers/36,25,1.0,0.50
491,renato campo_pers/16,27,1.0,0.50
492,richard knight_pers/21,36,1.0,0.50
493,robert brzoza-woch_pers/39,35,1.0,0.50
494,robert chrzan_pers/33,13,1.0,0.50
495,robert g. belleman_pers/31,40,1.0,0.50
496,robert j. meijer_pers/31,40,1.0,0.50
497,robert marcjan_pers/34,21,1.0,0.50
498,robert pajak_pers/36,25,1.0,0.50
499,robert samborski_pers/32,31,1.0,0.50
500,robert szymacha_pers/36,25,1.0,0.50
501,roberto ruiz_pers/32,31,1.0,0.50
502,roksana rózanska_pers/19,11,1.0,0.50
503,roland wismüller_pers/32,31,1.0,0.50
504,roman debski_pers/34,21,1.0,0.50
505,roman janusz_pers/23,24,1.0,0.50
506,rosa m. badia_pers/32,31,1.0,0.50
507,roy williams_pers/28,38,1.0,0.50
508,rudolf j. strijkers_pers/28,38,1.0,0.50
509,rudolph l. maxwell_pers/18,32,1.0,0.50
510,ryszard gokieli_pers/37,30,1.0,0.50
511,s. m. wang_pers/2,5,1.0,0.50
512,sascha skorupa_pers/37,30,1.0,0.50
513,schahram dustdar_pers/32,31,1.0,0.50
514,sebastian ernst_pers/14,39,1.0,0.50
515,sebastian feduniak_pers/37,30,1.0,0.50
516,sebastian lakomy_pers/33,13,1.0,0.50
517,sebastian wurm_pers/5,29,1.0,0.50
518,sergei gorlatch_pers/32,31,1.0,0.50
519,seyran saeedi_pers/41,20,1.0,0.50
520,shea miller_pers/10,23,1.0,0.50
521,shenyi song_pers/22,17,1.0,0.50
522,shuo m. wang_pers/29,4,1.0,0.50
523,shuxia zhang_pers/22,17,1.0,0.50
524,siegfried benkner_pers/21,36,1.0,0.50
525,siegfried grabner_pers/32,31,1.0,0.50
526,simon meurer_pers/6,9,1.0,0.50
527,simon portegies zwart_pers/35,0,1.0,0.50
528,slawomir goryczka_pers/39,35,1.0,0.50
529,slawomir zielinski_pers/34,21,1.0,0.50
530,spiros koulouzis_pers/28,38,1.0,0.50
531,stan matwin_pers/11,10,1.0,0.50
532,stanislaw ambroszkiewicz_pers/34,21,1.0,0.50
533,stefan j. zasada_pers/35,0,1.0,0.50
534,steven wood_pers/21,36,1.0,0.50
535,stijn imbrechts_pers/30,42,1.0,0.50
536,susheel varma_pers/30,42,1.0,0.50
537,syed naqvi_pers/12,3,1.0,0.50
538,syed wajahat abbas kazmi_pers/25,41,1.0,0.50
539,szymon engel_pers/11,10,1.0,0.50
540,szymon mentel_pers/34,21,1.0,0.50
541,szymon szominski_pers/26,6,1.0,0.50
542,t. harenberg_pers/22,17,1.0,0.50
543,t. kryza_pers/39,35,1.0,0.50
544,t. szymocha_pers/39,35,1.0,0.50
545,tadeusz j. popiela_pers/29,4,1.0,0.50
546,tadeusz szymocha_pers/37,30,1.0,0.50
547,tao jiang_pers/30,42,1.0,0.50
548,taras v. gerya_pers/30,42,1.0,0.50
549,thierry priol_pers/32,31,1.0,0.50
550,thomas bemmerl_pers/22,17,1.0,0.50
551,thomas erlebach_pers/14,39,1.0,0.50
552,thomas fahringer_pers/32,31,1.0,0.50
553,thomas ludwig 0002_pers/32,31,1.0,0.50
